amm_type,bucket,n,mean_dev_bps,median_dev_bps,p90_dev_bps,mean_amount_usd,median_amount_usd
humidifi,<100,1201,4.865362892094269,1.503216977443,10.613211237585,25.723758412989174,15.972355
humidifi,100-1k,3171,1.2709517879469923,0.8352281261485441,2.202450507716,387.1790359716178,390.078015
humidifi,1k-10k,407,1.4168902195969992,0.7782172632150632,2.3824936550400007,2038.1371201769045,1297.858246
humidifi,>10k,3,1.1974542036365035,1.1405772624200001,1.8553304265808002,33337.89381233333,40005.030725
whirlpool,<100,717,1.2113567781362193,0.8101226524869373,2.5287271034303997,48.883033578375496,46.6748907216
whirlpool,100-1k,699,1.2900936268771463,0.9478851004543652,2.3279340945628006,493.03396744683835,495.147830481462
whirlpool,1k-10k,576,1.485535058506828,1.108594612015,2.910531897319,3926.161647487368,3487.231503550198
whirlpool,>10k,113,2.7259412088673547,2.02242712804,5.464859024780399,23717.542382018622,13997.152514921658
raydium,<100,1993,4.425803428258369,0.970992072614516,2.9631257377505995,22.922422678934765,9.939230374984
raydium,100-1k,1265,6.365276978309988,1.20211177101,3.8627596426150004,369.8717542573196,284.81962463628
raydium,1k-10k,204,2.5604953148627954,1.7334703263775,5.288268685555802,1936.906718409588,1542.0838841835048
raydium,>10k,4,9.4168528177475,9.354160384179,13.891621741410301,16670.709659026234,13007.208502583664
orca,<100,0,,,,,
orca,100-1k,0,,,,,
orca,1k-10k,0,,,,,
orca,>10k,0,,,,,
